WARNING:  [13-05-2026 11:19:58] chroma_server_nofile is set to 65535, but this is less than current soft limit of 1048576. chroma_server_nofile will not be set.
INFO:     [13-05-2026 11:19:59] Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
DEBUG:    [13-05-2026 11:19:59] Starting component System
DEBUG:    [13-05-2026 11:19:59] Starting component OpenTelemetryClient
DEBUG:    [13-05-2026 11:19:59] Starting component SqliteDB
DEBUG:    [13-05-2026 11:19:59] Starting component SimpleQuotaEnforcer
DEBUG:    [13-05-2026 11:19:59] Starting component Posthog
DEBUG:    [13-05-2026 11:19:59] Starting component SimpleRateLimitEnforcer
DEBUG:    [13-05-2026 11:19:59] Starting component LocalSegmentManager
DEBUG:    [13-05-2026 11:19:59] Starting component LocalExecutor
DEBUG:    [13-05-2026 11:19:59] Starting component SegmentAPI
DEBUG:    [13-05-2026 11:19:59] Starting component SimpleAsyncRateLimitEnforcer
ERROR:    [13-05-2026 11:19:59] Failed to send telemetry event ServerStartEvent: capture() takes 1 positional argument but 3 were given
INFO:     [13-05-2026 11:19:59] Started server process [99602]
INFO:     [13-05-2026 11:19:59] Waiting for application startup.
INFO:     [13-05-2026 11:19:59] Application startup complete.
INFO:     [13-05-2026 11:19:59] Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
